year-month	data_source	country	term	hits	number of news
2018-9	iNaturalist	US	Araneae	16129	4
2019-1	iNaturalist	US	Araneae	3162	0
2019-10	iNaturalist	US	Araneae	18381	6
2019-11	iNaturalist	US	Araneae	9513	2
2019-12	iNaturalist	US	Araneae	5178	7
2019-2	iNaturalist	US	Araneae	3410	0
2019-3	iNaturalist	US	Araneae	6991	1
2019-4	iNaturalist	US	Araneae	16383	3
2019-5	iNaturalist	US	Araneae	16466	2
2019-6	iNaturalist	US	Araneae	19363	5
2019-7	iNaturalist	US	Araneae	21435	15
2019-8	iNaturalist	US	Araneae	22929	23
2019-9	iNaturalist	US	Araneae	27282	6
2020-1	iNaturalist	US	Araneae	4744	0
2020-10	iNaturalist	US	Araneae	56970	0
2020-11	iNaturalist	US	Araneae	27675	0
2020-12	iNaturalist	US	Araneae	13359	0
2020-2	iNaturalist	US	Araneae	5386	0
2020-3	iNaturalist	US	Araneae	12200	0
2020-4	iNaturalist	US	Araneae	25299	0
2020-5	iNaturalist	US	Araneae	32143	0
2020-6	iNaturalist	US	Araneae	33567	0
2020-7	iNaturalist	US	Araneae	58120	0
2020-8	iNaturalist	US	Araneae	71176	0
2020-9	iNaturalist	US	Araneae	83585	0
2010-1	Wikipedia	english	Brown recluse spider	NA	2
2010-10	Wikipedia	english	Brown recluse spider	NA	2
2010-11	Wikipedia	english	Brown recluse spider	NA	3
2010-12	Wikipedia	english	Brown recluse spider	NA	0
2010-2	Wikipedia	english	Brown recluse spider	NA	2
2010-3	Wikipedia	english	Brown recluse spider	NA	1
2010-4	Wikipedia	english	Brown recluse spider	NA	1
2010-5	Wikipedia	english	Brown recluse spider	NA	6
2010-6	Wikipedia	english	Brown recluse spider	NA	1
2010-7	Wikipedia	english	Brown recluse spider	NA	2
2010-8	Wikipedia	english	Brown recluse spider	NA	3
2010-9	Wikipedia	english	Brown recluse spider	NA	4
2011-1	Wikipedia	english	Brown recluse spider	NA	3
2011-10	Wikipedia	english	Brown recluse spider	NA	2
2011-11	Wikipedia	english	Brown recluse spider	NA	0
2011-12	Wikipedia	english	Brown recluse spider	NA	4
2011-2	Wikipedia	english	Brown recluse spider	NA	3
2011-3	Wikipedia	english	Brown recluse spider	NA	4
2011-4	Wikipedia	english	Brown recluse spider	NA	0
2011-5	Wikipedia	english	Brown recluse spider	NA	7
2011-6	Wikipedia	english	Brown recluse spider	NA	6
